Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,17999.82,0.00,-0.93,0.00,0.018386,0.00
2,Swingup,17999.82,0.00,-0.93,0.00,0.002686,0.00
3,Swingup,17999.82,0.00,-0.93,0.00,0.002798,0.00
4,Swingup,17999.82,0.00,-0.93,0.00,0.002931,0.00
5,Swingup,17999.82,0.00,-0.93,0.00,0.002937,0.00
6,Swingup,17999.82,0.00,-0.93,0.00,0.003607,0.00
7,Swingup,17999.82,0.00,-0.93,0.00,0.002523,0.00
8,Swingup,17999.82,0.00,-0.93,0.00,0.002709,0.00
9,Swingup,17999.82,0.00,-0.93,0.00,0.002998,0.00
10,Swingup,17999.82,0.00,-0.93,0.00,0.003282,0.00
11,Swingup,17999.82,0.00,-0.93,0.00,0.002861,0.00
12,Swingup,17999.82,0.00,-0.93,0.00,0.003338,0.00
13,Swingup,17999.82,0.00,-0.93,0.00,0.002601,0.00
14,Swingup,17999.82,0.00,-0.93,0.00,0.003093,0.00
15,Swingup,17999.82,0.00,-0.93,0.00,0.002963,0.00
16,Swingup,17999.82,0.00,-0.93,0.00,0.002795,0.00
17,Swingup,17999.82,0.00,-0.93,0.00,0.003095,0.00
18,Swingup,17999.82,0.00,-0.93,0.00,0.002839,0.00
19,Swingup,17999.82,0.00,-0.93,0.00,0.002987,0.00
20,Swingup,17999.82,0.00,-0.93,0.00,0.002651,0.00
21,Swingup,17999.82,0.00,-0.93,0.00,0.018106,0.00
22,Swingup,17999.82,0.00,-0.93,0.00,0.003104,0.00
23,Swingup,17999.82,0.00,-0.93,0.00,0.003248,0.00
24,Swingup,17999.82,0.00,-0.93,0.00,0.002584,0.00
25,Swingup,17999.82,0.00,-0.93,0.00,0.003290,0.00
26,Swingup,17999.82,0.00,-0.93,0.00,0.002653,0.00
27,Swingup,17999.82,0.00,-0.93,0.00,0.003012,0.00
28,Swingup,17999.82,0.00,-0.93,0.00,0.002726,0.00
29,Swingup,17999.82,0.00,-0.93,0.00,0.003015,0.00
30,Swingup,17999.82,0.00,-0.93,0.00,0.002989,0.00
31,Swingup,17999.82,0.00,-0.93,0.00,0.002551,0.00
32,Swingup,17999.82,0.00,-0.93,0.00,0.002770,0.00
33,Swingup,17999.82,0.00,-0.93,0.00,0.002740,0.00
34,Swingup,17999.82,0.00,-0.93,0.00,0.002792,0.00
35,Swingup,17999.82,0.00,-0.93,0.00,0.003479,0.00
36,Swingup,17999.82,0.00,-0.93,0.00,0.002964,0.00
37,Swingup,17999.82,0.00,-0.93,0.00,0.002904,0.00
38,Swingup,17999.82,0.00,-0.93,0.00,0.002926,0.00
39,Swingup,17999.82,0.00,-0.93,0.00,0.003036,0.00
40,Swingup,17999.82,0.00,-0.93,0.00,0.002992,0.00
41,Swingup,17999.82,0.00,-0.93,0.00,0.004595,0.00
42,Swingup,17999.82,0.00,-0.93,0.00,0.002903,0.00
43,Swingup,17999.82,0.00,-0.93,0.00,0.003003,0.00
44,Swingup,17999.82,0.00,-0.93,0.00,0.003210,0.00
45,Swingup,17999.82,0.00,-0.93,0.00,0.002928,0.00
46,Swingup,17999.82,0.00,-0.93,0.00,0.003667,0.00
47,Swingup,17999.82,0.00,-0.93,0.00,0.003051,0.00
48,Swingup,17999.82,0.00,-0.93,0.00,0.002495,0.00
49,Swingup,17999.82,0.00,-0.93,0.00,0.002981,0.00
50,Swingup,17999.82,0.00,-0.93,0.00,0.003020,0.00
51,Swingup,17999.82,0.00,-0.93,0.00,0.004157,0.00
52,Swingup,17999.82,0.00,-0.93,0.00,0.002666,0.00
53,Swingup,17999.82,0.00,-0.93,0.00,0.003014,0.00
54,Swingup,17999.82,0.00,-0.93,0.00,0.002473,0.00
55,Swingup,17999.82,0.00,-0.93,0.00,0.003515,0.00
56,Swingup,17999.82,0.00,-0.93,0.00,0.003832,0.00
57,Swingup,17999.82,0.00,-0.93,0.00,0.003199,0.00
58,Swingup,17999.82,0.00,-0.93,0.00,0.002031,0.00
59,Swingup,17999.82,0.00,-0.93,0.00,0.002746,0.00
60,Swingup,17999.82,0.00,-0.93,0.00,0.002940,0.00
61,Swingup,17999.82,0.00,-0.93,0.00,0.004099,0.00
62,Swingup,17999.82,0.00,-0.93,0.00,0.003246,0.00
63,Swingup,17999.82,0.00,-0.93,0.00,0.002950,0.00
64,Swingup,17999.82,0.00,-0.93,0.00,0.003026,0.00
65,Swingup,17999.82,0.00,-0.93,0.00,0.003147,0.00
66,Swingup,17999.82,0.00,-0.93,0.00,0.002592,0.00
67,Swingup,17999.82,0.00,-0.93,0.00,0.002707,0.00
68,Swingup,17999.82,0.00,-0.93,0.00,0.002743,0.00
69,Swingup,17999.82,0.00,-0.93,0.00,0.003023,0.00
70,Swingup,17999.82,0.00,-0.93,0.00,0.003090,0.00
71,Swingup,17999.82,0.00,-0.93,0.00,0.003072,0.00
72,Swingup,17999.82,0.00,-0.93,0.00,0.003319,0.00
73,Swingup,17999.82,0.00,-0.93,0.00,0.002841,0.00
74,Swingup,17999.82,0.00,-0.93,0.00,0.002660,0.00
75,Swingup,17999.82,0.00,-0.93,0.00,0.002798,0.00
76,Swingup,17999.82,0.00,-0.93,0.00,0.003183,0.00
77,Swingup,17999.82,0.00,-0.93,0.00,0.003056,0.00
78,Swingup,17999.82,0.00,-0.93,0.00,0.002542,0.00
79,Swingup,17999.82,0.00,-0.93,0.00,0.002911,0.00
80,Swingup,17999.82,0.00,-0.93,0.00,0.003038,0.00
81,Swingup,17999.82,0.00,-0.93,0.00,0.002824,0.00
82,Swingup,17999.82,0.00,-0.93,0.00,0.002654,0.00
83,Swingup,17999.82,0.00,-0.93,0.00,0.002744,0.00
84,Swingup,17999.82,0.00,-0.93,0.00,0.002671,0.00
85,Swingup,17999.82,0.00,-0.93,0.00,0.003080,0.00
