Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,4319.82,0.00,-3.92,0.00,0.029225,0.00
2,Swingup,4319.82,0.00,-3.92,0.00,0.003518,0.00
3,Swingup,4319.82,0.00,-3.92,0.00,0.003675,0.00
4,Swingup,4319.82,0.00,-3.92,0.00,0.003401,0.00
5,Swingup,4319.82,0.00,-3.92,0.00,0.003573,0.00
6,Swingup,4319.82,0.00,-3.92,0.00,0.003403,0.00
7,Swingup,4319.82,0.00,-3.92,0.00,0.003355,0.00
8,Swingup,4319.82,0.00,-3.92,0.00,0.003607,0.00
9,Swingup,4319.82,0.00,-3.92,0.00,0.003710,0.00
10,Swingup,4319.82,0.00,-3.92,0.00,0.003549,0.00
11,Swingup,4319.82,0.00,-3.92,0.00,0.003433,0.00
12,Swingup,4319.82,0.00,-3.92,0.00,0.003600,0.00
13,Swingup,4319.82,0.00,-3.92,0.00,0.003189,0.00
14,Swingup,4319.82,0.00,-3.92,0.00,0.003752,0.00
15,Swingup,4319.82,0.00,-3.92,0.00,0.003489,0.00
16,Swingup,4319.82,0.00,-3.92,0.00,0.003595,0.00
17,Swingup,4319.82,0.00,-3.92,0.00,0.003422,0.00
18,Swingup,4319.82,0.00,-3.92,0.00,0.003970,0.00
19,Swingup,4319.82,0.00,-3.92,0.00,0.003354,0.00
20,Swingup,4319.82,0.00,-3.92,0.00,0.003300,0.00
21,Swingup,4319.82,0.00,-3.92,0.00,0.016979,0.00
22,Swingup,4319.82,0.00,-3.92,0.00,0.003153,0.00
23,Swingup,4319.82,0.00,-3.92,0.00,0.003522,0.00
24,Swingup,4319.82,0.00,-3.92,0.00,0.004110,0.00
25,Swingup,4319.82,0.00,-3.92,0.00,0.003517,0.00
26,Swingup,4319.82,0.00,-3.92,0.00,0.003660,0.00
27,Swingup,4319.82,0.00,-3.92,0.00,0.003938,0.00
28,Swingup,4319.82,0.00,-3.92,0.00,0.003170,0.00
29,Swingup,4319.82,0.00,-3.92,0.00,0.003937,0.00
30,Swingup,4319.82,0.00,-3.92,0.00,0.003288,0.00
31,Swingup,4319.82,0.00,-3.92,0.00,0.003299,0.00
32,Swingup,4319.82,0.00,-3.92,0.00,0.003346,0.00
33,Swingup,4319.82,0.00,-3.92,0.00,0.004010,0.00
34,Swingup,4319.82,0.00,-3.92,0.00,0.003330,0.00
35,Swingup,4319.82,0.00,-3.92,0.00,0.003612,0.00
36,Swingup,4319.82,0.00,-3.92,0.00,0.003206,0.00
37,Swingup,4319.82,0.00,-3.92,0.00,0.003602,0.00
38,Swingup,4319.82,0.00,-3.92,0.00,0.003221,0.00
39,Swingup,4319.82,0.00,-3.92,0.00,0.003628,0.00
40,Swingup,4319.82,0.00,-3.92,0.00,0.003878,0.00
41,Swingup,4319.82,0.00,-3.92,0.00,0.007079,0.00
42,Swingup,4319.82,0.00,-3.92,0.00,0.003613,0.00
43,Swingup,4319.82,0.00,-3.92,0.00,0.003509,0.00
44,Swingup,4319.82,0.00,-3.92,0.00,0.003501,0.00
45,Swingup,4319.82,0.00,-3.92,0.00,0.003386,0.00
46,Swingup,4319.82,0.00,-3.92,0.00,0.003779,0.00
47,Swingup,4319.82,0.00,-3.92,0.00,0.003651,0.00
48,Swingup,4319.82,0.00,-3.92,0.00,0.003394,0.00
49,Swingup,4319.82,0.00,-3.92,0.00,0.003715,0.00
50,Swingup,4319.82,0.00,-3.92,0.00,0.003588,0.00
51,Swingup,4319.82,0.00,-3.92,0.00,0.003647,0.00
52,Swingup,4319.82,0.00,-3.92,0.00,0.003307,0.00
53,Swingup,4319.82,0.00,-3.92,0.00,0.003242,0.00
54,Swingup,4319.82,0.00,-3.92,0.00,0.003821,0.00
55,Swingup,4319.82,0.00,-3.92,0.00,0.003369,0.00
56,Swingup,4319.82,0.00,-3.92,0.00,0.003380,0.00
57,Swingup,4319.82,0.00,-3.92,0.00,0.003741,0.00
58,Swingup,4319.82,0.00,-3.92,0.00,0.003628,0.00
59,Swingup,4319.82,0.00,-3.92,0.00,0.003606,0.00
60,Swingup,4319.82,0.00,-3.92,0.00,0.003642,0.00
61,Swingup,4319.82,0.00,-3.92,0.00,0.005249,0.00
62,Swingup,4319.82,0.00,-3.92,0.00,0.003484,0.00
63,Swingup,4319.82,0.00,-3.92,0.00,0.003477,0.00
64,Swingup,4319.82,0.00,-3.92,0.00,0.003103,0.00
65,Swingup,4319.82,0.00,-3.92,0.00,0.003695,0.00
66,Swingup,4319.82,0.00,-3.92,0.00,0.003427,0.00
67,Swingup,4319.82,0.00,-3.92,0.00,0.003262,0.00
68,Swingup,4319.82,0.00,-3.92,0.00,0.003945,0.00
69,Swingup,4319.82,0.00,-3.92,0.00,0.003373,0.00
70,Swingup,4319.82,0.00,-3.92,0.00,0.003203,0.00
71,Swingup,4319.82,0.00,-3.92,0.00,0.003518,0.00
72,Swingup,4319.82,0.00,-3.92,0.00,0.003633,0.00
73,Swingup,4319.82,0.00,-3.92,0.00,0.003540,0.00
74,Swingup,4319.82,0.00,-3.92,0.00,0.003833,0.00
75,Swingup,4319.82,0.00,-3.92,0.00,0.003902,0.00
76,Swingup,4319.82,0.00,-3.92,0.00,0.003035,0.00
77,Swingup,4319.82,0.00,-3.92,0.00,0.003645,0.00
78,Swingup,4319.82,0.00,-3.92,0.00,0.003520,0.00
79,Swingup,4319.82,0.00,-3.92,0.00,0.003612,0.00
80,Swingup,4319.82,0.00,-3.92,0.00,0.003297,0.00
81,Swingup,4319.82,0.00,-3.92,0.00,0.004937,0.00
82,Swingup,4319.82,0.00,-3.92,0.00,0.003755,0.00
83,Swingup,4319.82,0.00,-3.92,0.00,0.003756,0.00
84,Swingup,4319.82,0.00,-3.92,0.00,0.003217,0.00
85,Swingup,4319.82,0.00,-3.92,0.00,0.003969,0.00
86,Swingup,4319.82,0.00,-3.92,0.00,0.003749,0.00
87,Swingup,4319.82,0.00,-3.92,0.00,0.003344,0.00
88,Swingup,4319.82,0.00,-3.92,0.00,0.003675,0.00
89,Swingup,4319.82,0.00,-3.92,0.00,0.003521,0.00
90,Swingup,4319.82,0.00,-3.92,0.00,0.003463,0.00
91,Swingup,4319.82,0.00,-3.92,0.00,0.003497,0.00
92,Swingup,4319.82,0.00,-3.92,0.00,0.003892,0.00
93,Swingup,4319.82,0.00,-3.92,0.00,0.003479,0.00
94,Swingup,4319.82,0.00,-3.92,0.00,0.003292,0.00
95,Swingup,4319.82,0.00,-3.92,0.00,0.003286,0.00
96,Swingup,4319.82,0.00,-3.92,0.00,0.003634,0.00
97,Swingup,4319.82,0.00,-3.92,0.00,0.003839,0.00
98,Swingup,4319.82,0.00,-3.92,0.00,0.003780,0.00
99,Swingup,4319.82,0.00,-3.92,0.00,0.003366,0.00
100,Swingup,4319.82,0.00,-3.92,0.00,0.003228,0.00
101,Swingup,4319.82,0.00,-3.92,0.00,0.008867,0.00
102,Swingup,4319.82,0.00,-3.92,0.00,0.003278,0.00
103,Swingup,4319.82,0.00,-3.92,0.00,0.003566,0.00
104,Swingup,4319.82,0.00,-3.92,0.00,0.003836,0.00
105,Swingup,4319.82,0.00,-3.92,0.00,0.003920,0.00
106,Swingup,4319.82,0.00,-3.92,0.00,0.003130,0.00
107,Swingup,4319.82,0.00,-3.92,0.00,0.003566,0.00
108,Swingup,4319.82,0.00,-3.92,0.00,0.003420,0.00
