Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,0.00,0.00,1.71,0.00,0.032992,0.00
2,Swingup,0.17,66.72,1.71,0.00,0.002548,0.00
3,Swingup,0.17,0.00,1.71,0.00,0.002842,0.00
4,Swingup,0.17,0.00,1.71,0.00,0.002451,0.00
5,Swingup,0.17,0.00,1.71,0.00,0.002499,0.00
6,Swingup,0.17,0.00,1.71,0.00,0.003284,0.00
7,Swingup,0.17,0.00,1.71,0.00,0.002762,0.00
8,Swingup,0.17,0.00,1.71,0.00,0.002475,0.00
9,Swingup,0.17,0.00,1.71,0.00,0.002764,0.00
10,Swingup,0.17,0.00,1.71,0.00,0.002345,0.00
11,Swingup,0.17,0.00,1.71,0.00,0.003151,0.00
12,Swingup,0.17,0.00,1.71,0.00,0.002387,0.00
13,Swingup,0.17,0.00,1.71,0.00,0.002345,0.00
14,Swingup,0.17,0.00,1.71,0.00,0.002413,0.00
15,Swingup,0.17,0.00,1.71,0.00,0.002322,0.00
16,Swingup,0.17,0.00,1.71,0.00,0.010473,0.00
17,Swingup,0.17,0.00,1.71,0.00,0.002659,0.00
18,Swingup,0.17,0.00,1.71,0.00,0.002163,0.00
19,Swingup,0.17,0.00,1.71,0.00,0.002500,0.00
20,Swingup,0.17,0.00,1.71,0.00,0.002445,0.00
21,Swingup,0.17,0.00,1.71,0.00,0.009410,0.00
22,Swingup,0.17,0.00,1.71,0.00,0.002027,0.00
23,Swingup,0.17,0.00,1.71,0.00,0.002231,0.00
24,Swingup,0.17,0.00,1.71,0.00,0.002861,0.00
25,Swingup,0.17,0.00,1.71,0.00,0.002285,0.00
26,Swingup,0.17,0.00,1.71,0.00,0.006684,0.00
27,Swingup,0.17,0.00,1.71,0.00,0.002227,0.00
28,Swingup,0.17,0.00,1.71,0.00,0.002290,0.00
29,Swingup,0.17,0.00,1.71,0.00,0.002178,0.00
30,Swingup,0.17,0.00,1.71,0.00,0.002330,0.00
31,Swingup,0.17,0.00,1.71,0.00,0.004700,0.00
32,Swingup,0.17,0.00,1.71,0.00,0.002702,0.00
33,Swingup,0.17,0.00,1.71,0.00,0.001886,0.00
34,Swingup,0.17,0.00,1.71,0.00,0.002679,0.00
35,Swingup,0.17,0.00,1.71,0.00,0.002367,0.00
36,Swingup,0.17,0.00,1.71,0.00,0.042066,0.00
37,Swingup,0.17,0.00,1.71,0.00,0.002384,0.00
38,Swingup,0.17,0.00,1.71,0.00,0.002576,0.00
39,Swingup,0.17,0.00,1.71,0.00,0.002779,0.00
40,Swingup,0.17,0.00,1.71,0.00,0.002573,0.00
41,Swingup,0.17,0.00,1.71,0.00,0.010649,0.00
42,Swingup,0.17,0.00,1.71,0.00,0.002789,0.00
43,Swingup,0.17,0.00,1.71,0.00,0.002220,0.00
44,Swingup,0.17,0.00,1.71,0.00,0.002360,0.00
45,Swingup,0.17,0.00,1.71,0.00,0.002655,0.00
46,Swingup,0.17,0.00,1.71,0.00,0.002654,0.00
47,Swingup,0.17,0.00,1.71,0.00,0.002389,0.00
48,Swingup,0.17,0.00,1.71,0.00,0.002350,0.00
49,Swingup,0.17,0.00,1.71,0.00,0.002514,0.00
50,Swingup,0.17,0.00,1.71,0.00,0.002281,0.00
51,Swingup,0.17,0.00,1.71,0.00,0.006429,0.00
52,Swingup,0.17,0.00,1.71,0.00,0.002084,0.00
53,Swingup,0.17,0.00,1.71,0.00,0.002726,0.00
54,Swingup,0.17,0.00,1.71,0.00,0.002545,0.00
55,Swingup,0.17,0.00,1.71,0.00,0.002920,0.00
56,Swingup,0.17,0.00,1.71,0.00,0.002397,0.00
57,Swingup,0.17,0.00,1.71,0.00,0.002571,0.00
58,Swingup,0.17,0.00,1.71,0.00,0.001965,0.00
59,Swingup,0.17,0.00,1.71,0.00,0.002686,0.00
60,Swingup,0.17,0.00,1.71,0.00,0.002370,0.00
61,Swingup,0.17,0.00,1.71,0.00,0.003934,0.00
62,Swingup,0.17,0.00,1.71,0.00,0.002487,0.00
63,Swingup,0.17,0.00,1.71,0.00,0.002549,0.00
64,Swingup,0.17,0.00,1.71,0.00,0.002261,0.00
65,Swingup,0.17,0.00,1.71,0.00,0.002620,0.00
66,Swingup,0.17,0.00,1.71,0.00,0.002558,0.00
67,Swingup,0.17,0.00,1.71,0.00,0.002572,0.00
68,Swingup,0.17,0.00,1.71,0.00,0.002539,0.00
69,Swingup,0.17,0.00,1.71,0.00,0.002443,0.00
70,Swingup,0.17,0.00,1.71,0.00,0.001917,0.00
71,Swingup,0.17,0.00,1.71,0.00,0.007641,0.00
72,Swingup,0.17,0.00,1.71,0.00,0.002457,0.00
73,Swingup,0.17,0.00,1.71,0.00,0.002256,0.00
74,Swingup,0.17,0.00,1.71,0.00,0.002635,0.00
75,Swingup,0.17,0.00,1.71,0.00,0.002424,0.00
76,Swingup,0.17,0.00,1.71,0.00,0.005414,0.00
77,Swingup,0.17,0.00,1.71,0.00,0.002557,0.00
78,Swingup,0.17,0.00,1.71,0.00,0.002453,0.00
79,Swingup,0.17,0.00,1.71,0.00,0.002495,0.00
80,Swingup,0.17,0.00,1.71,0.00,0.002407,0.00
81,Swingup,0.17,0.00,1.71,0.00,0.003348,0.00
82,Swingup,0.17,0.00,1.71,0.00,0.002200,0.00
83,Swingup,0.17,0.00,1.71,0.00,0.002519,0.00
84,Swingup,0.17,0.00,1.71,0.00,0.002785,0.00
85,Swingup,0.17,0.00,1.71,0.00,0.002031,0.00
86,Swingup,0.17,0.00,1.71,0.00,0.003969,0.00
87,Swingup,0.17,0.00,1.71,0.00,0.002247,0.00
88,Swingup,0.17,0.00,1.71,0.00,0.003015,0.00
89,Swingup,0.17,0.00,1.71,0.00,0.002386,0.00
90,Swingup,0.17,0.00,1.71,0.00,0.002990,0.00
91,Swingup,0.17,0.00,1.71,0.00,0.006242,0.00
92,Swingup,0.17,0.00,1.71,0.00,0.002444,0.00
93,Swingup,0.17,0.00,1.71,0.00,0.001964,0.00
94,Swingup,0.17,0.00,1.71,0.00,0.002715,0.00
95,Swingup,0.17,0.00,1.71,0.00,0.002300,0.00
96,Swingup,0.17,0.00,1.71,0.00,0.007016,0.00
97,Swingup,0.17,0.00,1.71,0.00,0.002220,0.00
98,Swingup,0.17,0.00,1.71,0.00,0.002839,0.00
99,Swingup,0.17,0.00,1.71,0.00,0.002707,0.00
100,Swingup,0.17,0.00,1.71,0.00,0.002877,0.00
101,Swingup,0.17,0.00,1.71,0.00,0.011659,0.00
102,Swingup,0.17,0.00,1.71,0.00,0.002625,0.00
103,Swingup,0.17,0.00,1.71,0.00,0.002261,0.00
104,Swingup,0.17,0.00,1.71,0.00,0.002712,0.00
105,Swingup,0.17,0.00,1.71,0.00,0.002987,0.00
106,Swingup,0.17,0.00,1.71,0.00,0.007920,0.00
107,Swingup,0.17,0.00,1.71,0.00,0.002188,0.00
108,Swingup,0.17,0.00,1.71,0.00,0.002609,0.00
109,Swingup,0.17,0.00,1.71,0.00,0.002519,0.00
110,Swingup,0.17,0.00,1.71,0.00,0.002558,0.00
111,Swingup,0.17,0.00,1.71,0.00,0.002972,0.00
112,Swingup,0.17,0.00,1.71,0.00,0.002436,0.00
113,Swingup,0.17,0.00,1.71,0.00,0.002346,0.00
114,Swingup,0.17,0.00,1.71,0.00,0.002412,0.00
115,Swingup,0.17,0.00,1.71,0.00,0.002321,0.00
116,Swingup,0.17,0.00,1.71,0.00,0.005134,0.00
117,Swingup,0.17,0.00,1.71,0.00,0.002497,0.00
118,Swingup,0.17,0.00,1.71,0.00,0.002701,0.00
119,Swingup,0.17,0.00,1.71,0.00,0.002820,0.00
120,Swingup,0.17,0.00,1.71,0.00,0.002519,0.00
121,Swingup,0.17,0.00,1.71,0.00,0.004719,0.00
122,Swingup,0.17,0.00,1.71,0.00,0.002649,0.00
123,Swingup,0.17,0.00,1.71,0.00,0.002413,0.00
124,Swingup,0.17,0.00,1.71,0.00,0.002516,0.00
125,Swingup,0.17,0.00,1.71,0.00,0.002463,0.00
126,Swingup,0.17,0.00,1.71,0.00,0.004632,0.00
127,Swingup,0.17,0.00,1.71,0.00,0.002652,0.00
128,Swingup,0.17,0.00,1.71,0.00,0.002344,0.00
129,Swingup,0.17,0.00,1.71,0.00,0.002868,0.00
130,Swingup,0.17,0.00,1.71,0.00,0.002319,0.00
131,Swingup,0.17,0.00,1.71,0.00,0.004044,0.00
132,Swingup,0.17,0.00,1.71,0.00,0.002300,0.00
133,Swingup,0.17,0.00,1.71,0.00,0.002532,0.00
134,Swingup,0.17,0.00,1.71,0.00,0.002654,0.00
135,Swingup,0.17,0.00,1.71,0.00,0.002554,0.00
136,Swingup,0.17,0.00,1.71,0.00,0.006280,0.00
137,Swingup,0.17,0.00,1.71,0.00,0.002614,0.00
138,Swingup,0.17,0.00,1.71,0.00,0.002557,0.00
139,Swingup,0.17,0.00,1.71,0.00,0.002438,0.00
140,Swingup,0.17,0.00,1.71,0.00,0.002611,0.00
141,Swingup,0.17,0.00,1.71,0.00,0.005609,0.00
142,Swingup,0.17,0.00,1.71,0.00,0.002255,0.00
143,Swingup,0.17,0.00,1.71,0.00,0.002564,0.00
144,Swingup,0.17,0.00,1.71,0.00,0.002841,0.00
145,Swingup,0.17,0.00,1.71,0.00,0.001717,0.00
146,Swingup,0.17,0.00,1.71,0.00,0.010200,0.00
147,Swingup,0.17,0.00,1.71,0.00,0.002208,0.00
148,Swingup,0.17,0.00,1.71,0.00,0.002690,0.00
149,Swingup,0.17,0.00,1.71,0.00,0.002073,0.00
150,Swingup,0.17,0.00,1.71,0.00,0.002153,0.00
151,Swingup,0.17,0.00,1.71,0.00,0.004880,0.00
152,Swingup,0.17,0.00,1.71,0.00,0.002562,0.00
153,Swingup,0.17,0.00,1.71,0.00,0.002402,0.00
154,Swingup,0.17,0.00,1.71,0.00,0.002758,0.00
155,Swingup,0.17,0.00,1.71,0.00,0.002078,0.00
156,Swingup,0.17,0.00,1.71,0.00,0.005308,0.00
157,Swingup,0.17,0.00,1.71,0.00,0.002244,0.00
158,Swingup,0.17,0.00,1.71,0.00,0.002463,0.00
159,Swingup,0.17,0.00,1.71,0.00,0.002516,0.00
160,Swingup,0.17,0.00,1.71,0.00,0.002738,0.00
161,Swingup,0.17,0.00,1.71,0.00,0.003399,0.00
162,Swingup,0.17,0.00,1.71,0.00,0.002234,0.00
163,Swingup,0.17,0.00,1.71,0.00,0.002103,0.00
164,Swingup,0.17,0.00,1.71,0.00,0.001992,0.00
165,Swingup,0.17,0.00,1.71,0.00,0.002389,0.00
166,Swingup,0.17,0.00,1.71,0.00,0.006764,0.00
167,Swingup,0.17,0.00,1.71,0.00,0.002217,0.00
168,Swingup,0.17,0.00,1.71,0.00,0.002532,0.00
169,Swingup,0.17,0.00,1.71,0.00,0.002915,0.00
170,Swingup,0.17,0.00,1.71,0.00,0.002245,0.00
171,Swingup,0.17,0.00,1.71,0.00,0.004777,0.00
