Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,4319.64,0.06,-2.69,0.00,0.074464,0.00
2,Swingup,4319.64,0.06,-2.69,0.00,0.002126,0.00
3,Swingup,4319.64,0.06,-2.69,0.00,0.002694,0.00
4,Swingup,4319.64,0.06,-2.69,0.00,0.001991,0.00
5,Swingup,4319.64,0.06,-2.69,0.00,0.002951,0.00
6,Swingup,4319.64,0.06,-2.69,0.00,0.002703,0.00
7,Swingup,4319.64,0.06,-2.69,0.00,0.002496,0.00
8,Swingup,4319.64,0.06,-2.69,0.00,0.002131,0.00
9,Swingup,4319.64,0.06,-2.69,0.00,0.002228,0.00
10,Swingup,4319.64,0.06,-2.69,0.00,0.002463,0.00
11,Swingup,4319.64,0.06,-2.69,0.00,0.002571,0.00
12,Swingup,4319.64,0.06,-2.69,0.00,0.002630,0.00
13,Swingup,4319.64,0.06,-2.69,0.00,0.002612,0.00
14,Swingup,4319.64,0.06,-2.69,0.00,0.002192,0.00
15,Swingup,4319.64,0.06,-2.69,0.00,0.002341,0.00
16,Swingup,4319.64,0.06,-2.69,0.00,0.002547,0.00
17,Swingup,4319.64,0.06,-2.69,0.00,0.002517,0.00
18,Swingup,4319.64,0.06,-2.69,0.00,0.002005,0.00
19,Swingup,4319.64,0.06,-2.69,0.00,0.002263,0.00
20,Swingup,4319.64,0.06,-2.69,0.00,0.002086,0.00
21,Swingup,4319.64,0.06,-2.69,0.00,0.007373,0.00
22,Swingup,4319.64,0.06,-2.69,0.00,0.002234,0.00
23,Swingup,4319.64,0.06,-2.69,0.00,0.002576,0.00
24,Swingup,4319.64,0.06,-2.69,0.00,0.002041,0.00
25,Swingup,4319.64,0.06,-2.69,0.00,0.002460,0.00
26,Swingup,4319.64,0.06,-2.69,0.00,0.002312,0.00
27,Swingup,4319.64,0.06,-2.69,0.00,0.002121,0.00
28,Swingup,4319.64,0.06,-2.69,0.00,0.002208,0.00
29,Swingup,4319.64,0.06,-2.69,0.00,0.002800,0.00
30,Swingup,4319.64,0.06,-2.69,0.00,0.002277,0.00
31,Swingup,4319.64,0.06,-2.69,0.00,0.002209,0.00
32,Swingup,4319.64,0.06,-2.69,0.00,0.002375,0.00
33,Swingup,4319.64,0.06,-2.69,0.00,0.002364,0.00
34,Swingup,4319.64,0.06,-2.69,0.00,0.002195,0.00
35,Swingup,4319.64,0.06,-2.69,0.00,0.002273,0.00
36,Swingup,4319.64,0.06,-2.69,0.00,0.002176,0.00
37,Swingup,4319.64,0.06,-2.69,0.00,0.002267,0.00
38,Swingup,4319.64,0.06,-2.69,0.00,0.002462,0.00
39,Swingup,4319.64,0.06,-2.69,0.00,0.002450,0.00
40,Swingup,4319.64,0.06,-2.69,0.00,0.002173,0.00
41,Swingup,4319.64,0.06,-2.69,0.00,0.005020,0.00
42,Swingup,4319.64,0.06,-2.69,0.00,0.002202,0.00
43,Swingup,4319.64,0.06,-2.69,0.00,0.002371,0.00
44,Swingup,4319.64,0.06,-2.69,0.00,0.002152,0.00
45,Swingup,4319.64,0.06,-2.69,0.00,0.002449,0.00
46,Swingup,4319.64,0.06,-2.69,0.00,0.001935,0.00
47,Swingup,4319.64,0.06,-2.69,0.00,0.002258,0.00
48,Swingup,4319.64,0.06,-2.69,0.00,0.002296,0.00
49,Swingup,4319.64,0.06,-2.69,0.00,0.002350,0.00
50,Swingup,4319.64,0.06,-2.69,0.00,0.002118,0.00
51,Swingup,4319.64,0.06,-2.69,0.00,0.002531,0.00
52,Swingup,4319.64,0.06,-2.69,0.00,0.002390,0.00
53,Swingup,4319.64,0.06,-2.69,0.00,0.002258,0.00
54,Swingup,4319.64,0.06,-2.69,0.00,0.002298,0.00
55,Swingup,4319.64,0.06,-2.69,0.00,0.002497,0.00
56,Swingup,4319.64,0.06,-2.69,0.00,0.002296,0.00
57,Swingup,4319.64,0.06,-2.69,0.00,0.002662,0.00
58,Swingup,4319.64,0.06,-2.69,0.00,0.001779,0.00
59,Swingup,4319.64,0.06,-2.69,0.00,0.002540,0.00
60,Swingup,4319.64,0.06,-2.69,0.00,0.002116,0.00
61,Swingup,4319.64,0.06,-2.69,0.00,0.002829,0.00
62,Swingup,4319.64,0.06,-2.69,0.00,0.002361,0.00
63,Swingup,4319.64,0.06,-2.69,0.00,0.002327,0.00
64,Swingup,4319.64,0.06,-2.69,0.00,0.002618,0.00
65,Swingup,4319.64,0.06,-2.69,0.00,0.002389,0.00
66,Swingup,4319.64,0.06,-2.69,0.00,0.002338,0.00
67,Swingup,4319.64,0.06,-2.69,0.00,0.002655,0.00
68,Swingup,4319.64,0.06,-2.69,0.00,0.001945,0.00
69,Swingup,4319.64,0.06,-2.69,0.00,0.002234,0.00
