Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,4679.64,0.01,12.08,0.00,0.054125,0.00
2,Swingup,4679.64,0.01,12.08,0.00,0.003014,0.00
3,Swingup,4679.64,0.01,12.08,0.00,0.001928,0.00
4,Swingup,4679.64,0.01,12.08,0.00,0.001838,0.00
5,Swingup,4679.64,0.01,12.08,0.00,0.002000,0.00
6,Swingup,4679.64,0.01,12.08,0.00,0.001996,0.00
7,Swingup,4679.64,0.01,12.08,0.00,0.002523,0.00
8,Swingup,4679.64,0.01,12.08,0.00,0.002154,0.00
9,Swingup,4679.64,0.01,12.08,0.00,0.003337,0.00
10,Swingup,4679.64,0.01,12.08,0.00,0.001824,0.00
11,Swingup,4679.64,0.01,12.08,0.00,0.003302,0.00
12,Swingup,4679.64,0.01,12.08,0.00,0.002130,0.00
13,Swingup,4679.64,0.01,12.08,0.00,0.002467,0.00
14,Swingup,4679.64,0.01,12.08,0.00,0.002563,0.00
15,Swingup,4679.64,0.01,12.08,0.00,0.002733,0.00
16,Swingup,4679.64,0.01,12.08,0.00,0.002634,0.00
17,Swingup,4679.64,0.01,12.08,0.00,0.002288,0.00
18,Swingup,4679.64,0.01,12.08,0.00,0.001994,0.00
19,Swingup,4679.64,0.01,12.08,0.00,0.002650,0.00
20,Swingup,4679.64,0.01,12.08,0.00,0.002358,0.00
21,Swingup,4679.64,0.01,12.08,0.00,0.010278,0.00
22,Swingup,4679.64,0.01,12.08,0.00,0.002238,0.00
23,Swingup,4679.64,0.01,12.08,0.00,0.002296,0.00
24,Swingup,4679.64,0.01,12.08,0.00,0.002356,0.00
25,Swingup,4679.64,0.01,12.08,0.00,0.002008,0.00
26,Swingup,4679.64,0.01,12.08,0.00,0.002770,0.00
27,Swingup,4679.64,0.01,12.08,0.00,0.002258,0.00
28,Swingup,4679.64,0.01,12.08,0.00,0.002711,0.00
29,Swingup,4679.64,0.01,12.08,0.00,0.002103,0.00
30,Swingup,4679.64,0.01,12.08,0.00,0.002059,0.00
31,Swingup,4679.64,0.01,12.08,0.00,0.002197,0.00
32,Swingup,4679.64,0.01,12.08,0.00,0.002016,0.00
