Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,4320.00,0.00,-0.93,0.00,0.042784,0.00
2,Swingup,4320.00,0.00,-0.93,0.00,0.002061,0.00
3,Swingup,4320.00,0.00,-0.93,0.00,0.002476,0.00
4,Swingup,4320.00,0.00,-0.93,0.00,0.002414,0.00
5,Swingup,4320.00,0.00,-0.93,0.00,0.002475,0.00
6,Swingup,4320.00,0.00,-0.93,0.00,0.002672,0.00
7,Swingup,4320.00,0.00,-0.93,0.00,0.002378,0.00
8,Swingup,4320.00,0.00,-0.93,0.00,0.001782,0.00
9,Swingup,4320.00,0.00,-0.93,0.00,0.002603,0.00
10,Swingup,4320.00,0.00,-0.93,0.00,0.002488,0.00
11,Swingup,4320.00,0.00,-0.93,0.00,0.002464,0.00
12,Swingup,4320.00,0.00,-0.93,0.00,0.001927,0.00
13,Swingup,4320.00,0.00,-0.93,0.00,0.002284,0.00
14,Swingup,4320.00,0.00,-0.93,0.00,0.002305,0.00
15,Swingup,4320.00,0.00,-0.93,0.00,0.002758,0.00
16,Swingup,4320.00,0.00,-0.93,0.00,0.002353,0.00
17,Swingup,4320.00,0.00,-0.93,0.00,0.002426,0.00
18,Swingup,4320.00,0.00,-0.93,0.00,0.001991,0.00
19,Swingup,4320.00,0.00,-0.93,0.00,0.002651,0.00
20,Swingup,4320.00,0.00,-0.93,0.00,0.002740,0.00
21,Swingup,4320.00,0.00,-0.93,0.00,0.010835,0.00
22,Swingup,4320.00,0.00,-0.93,0.00,0.002457,0.00
23,Swingup,4320.00,0.00,-0.93,0.00,0.002919,0.00
24,Swingup,4320.00,0.00,-0.93,0.00,0.002613,0.00
25,Swingup,4320.00,0.00,-0.93,0.00,0.002361,0.00
26,Swingup,4320.00,0.00,-0.93,0.00,0.002302,0.00
27,Swingup,4320.00,0.00,-0.93,0.00,0.002419,0.00
28,Swingup,4320.00,0.00,-0.93,0.00,0.002341,0.00
29,Swingup,4320.00,0.00,-0.93,0.00,0.002417,0.00
30,Swingup,4320.00,0.00,-0.93,0.00,0.002759,0.00
31,Swingup,4320.00,0.00,-0.93,0.00,0.002489,0.00
32,Swingup,4320.00,0.00,-0.93,0.00,0.002892,0.00
