Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.019,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.032,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.054,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.067,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.081,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.096,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.113,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.129,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.147,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.163,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.179,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.196,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.212,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.235,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.248,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.261,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.275,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.290,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.304,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.318,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.332,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.348,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.364,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.380,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.396,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,0.000,Emergency,0.0
0.436,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,2.000,Bang-Bang,0.0
0.451,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,-2.000,Bang-Bang,0.0
0.469,-36.080,-0.630,6840.520,119.390,179.480,0.000,0.000,-2.000,Bang-Bang,0.0
0.529,-35.730,-0.624,6841.050,119.399,178.950,0.000,0.000,2.000,Bang-Bang,0.0
0.549,-38.190,-0.667,6838.240,119.350,178.240,0.000,0.000,2.000,Bang-Bang,-18.0
0.572,-41.360,-0.722,6834.900,119.292,174.900,0.000,0.000,2.000,Bang-Bang,-26.0
0.588,-44.350,-0.774,6832.260,119.245,172.260,0.000,0.000,2.000,Bang-Bang,-15.0
0.606,-45.050,-0.786,6832.080,119.242,172.080,0.000,0.000,2.000,Bang-Bang,-7.0
0.624,-44.520,-0.777,6833.670,119.270,173.670,0.000,0.000,2.000,Bang-Bang,6.0
0.648,-42.760,-0.746,6836.480,119.319,176.480,0.000,0.000,2.000,Bang-Bang,17.0
0.665,-39.070,-0.682,6842.460,119.423,177.540,0.000,0.000,2.000,Bang-Bang,30.0
0.679,-35.380,-0.617,6847.550,119.512,172.450,0.000,0.000,2.000,Bang-Bang,36.0
0.691,-32.220,-0.562,6851.420,119.580,168.580,0.000,0.000,2.000,Bang-Bang,39.0
0.707,-29.050,-0.507,6855.290,119.647,164.710,0.000,0.000,2.000,Bang-Bang,40.0
0.724,-25.360,-0.443,6859.510,119.721,160.490,0.000,0.000,2.000,Bang-Bang,40.0
0.739,-21.320,-0.372,6863.550,119.792,156.450,0.000,0.000,2.000,Bang-Bang,39.0
0.754,-17.980,-0.314,6866.540,119.844,153.460,0.000,0.000,2.000,Bang-Bang,38.0
0.767,-14.640,-0.256,6868.650,119.881,151.350,0.000,0.000,2.000,Bang-Bang,36.0
0.781,-11.830,-0.206,6869.880,119.902,150.120,0.000,0.000,2.000,Bang-Bang,35.0
0.795,-8.660,-0.151,6870.760,119.917,149.240,0.000,0.000,2.000,Bang-Bang,34.0
0.809,-5.850,-0.102,6870.760,119.917,149.240,0.000,0.000,-2.000,Bang-Bang,34.0
0.825,-3.040,-0.053,6870.050,119.905,149.950,0.000,0.000,-2.000,Bang-Bang,33.0
0.841,0.130,0.002,6868.470,119.877,151.530,0.000,0.000,-2.000,Bang-Bang,33.0
0.857,2.590,0.045,6865.660,119.828,154.340,0.000,0.000,-2.000,Bang-Bang,24.0
0.870,4.170,0.073,6860.910,119.745,159.090,0.000,0.000,-2.000,Bang-Bang,14.0
0.882,4.340,0.076,6855.460,119.650,164.540,0.000,0.000,-2.000,Bang-Bang,6.0
0.896,3.640,0.064,6849.660,119.549,170.340,0.000,0.000,-2.000,Bang-Bang,-5.0
0.912,2.060,0.036,6841.580,119.408,178.420,0.000,0.000,-2.000,Bang-Bang,-22.0
0.927,-0.400,-0.007,6832.610,119.252,172.610,0.000,0.000,-2.000,Bang-Bang,-28.0
0.942,-3.390,-0.059,6821.710,119.061,161.710,0.000,0.000,-2.000,Bang-Bang,-29.0
0.958,-5.670,-0.099,6813.630,118.920,153.630,0.000,0.000,-2.000,Bang-Bang,-25.0
